电视频道,#genre#
CCTV1,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000104/index.m3u8?  
CCTV2,http://[2409:8087:c50:21::2:12]:6610/040000001000/35100001000000060000000000000003/index.m3u8?   
CCTV3,http://[2409:8087:c50:21::2:17]:6610/040000001000/35100001000000060000000000000148/index.m3u8? 
CCTV3,http://[2409:8087:c50:21::2:14]:6610/040000001000/35100001000000060000000000000148/index.m3u8? 
CCTV4,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000011/index.m3u8? 
CCTV5,http://[2409:8087:c50:21::2:17]:6610/040000001000/35100001000000060000000000000149/index.m3u8? 
CCTV5,http://[2409:8087:c50:21::2:14]:6610/040000001000/35100001000000060000000000000149/index.m3u8? 
CCTV6,http://[2409:8087:c50:21::2:15]:6610/040000001000/35100001000000060000000000000150/index.m3u8?   
CCTV6,http://[2409:8087:c50:21::2:14]:6610/040000001000/35100001000000060000000000000150/index.m3u8?   
CCTV7,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000008/index.m3u8?   
CCTV8,http://[2409:8087:c50:21::2:20]:6610/040000001000/35100001000000060000000000000151/index.m3u8?   
CCTV8,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000151/index.m3u8?   
CCTV9,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000009/index.m3u8?   
CCTV10,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000059/index.m3u8?   
CCTV11,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000087/index.m3u8?   
CCTV12,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000062/index.m3u8?   
CCTV13,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000083/index.m3u8?   
CCTV14,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000064/index.m3u8?   
CCTV15,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000085/index.m3u8?  
CCTV16,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000105/index.m3u8? 
CCTV17,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000208/index.m3u8?
CCTV5+,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000012/index.m3u8? 
CCTV4K,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000189/index.m3u8?
凤凰资讯,http://223.105.252.60/PLTV/3/224/3221228524/index.m3u8?servicetype=1&unionUrl=gitv%2Flive1%2F-%2FHD-10000k-1080P-fhchinese5s&icpid=88888888&from=1&hms_devid=6885
凤凰中文,http://223.105.252.60/PLTV/3/224/3221228527/index.m3u8?servicetype=1&unionUrl=gitv%2Flive1%2F-%2FHD-10000k-1080P-fhchinese5s&icpid=88888888&from=1&hms_devid=6885
凤凰卫视香港台,http://223.105.252.60/PLTV/3/224/3221228530/index.m3u8?servicetype=1&unionUrl=gitv%2Flive1%2F-%2FHD-10000k-1080P-fhchinese5s&icpid=88888888&from=1&hms_devid=6885
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰卫视香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
北京卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000017/index.m3u8?
东方卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000077/index.m3u8?  
天津卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000052/index.m3u8?   
河北卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000097/index.m3u8?   
河南卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000048/index.m3u8?   
山东卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000013/index.m3u8?   
山西卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000100/index.m3u8?     
江苏卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000095/index.m3u8? 
湖北卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000014/index.m3u8?   
湖南卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000073/index.m3u8?   
浙江卫视,http://[2409:8087:c50:21::2:18]:6610/040000001000/35100001000000060000000000000098/index.m3u8?   
